"Indicator type","Indicator","Description"
"hostname","master-of-disaster.tor-exit.laarnes.nl",""
"hostname","bahar.nerdpol.org",""
"hostname","241.ip-54-37-16.eu",""
"hostname","tor-exit-4.all.de",""
"hostname","tor4e1.digitale-gesellschaft.ch",""
"hostname","this-is-a-tor-exit-node-hviv126.hviv.nl",""
"hostname","chimborazo.drbeni.ch",""
"hostname","tor.thd.ninja",""
"hostname","153.emeraldonion.org",""
"hostname","puertasecreta.resistancenetworks.net",""
"hostname","tor01.zencurity.dk",""
"hostname","188.emeraldonion.org",""
"hostname","static.87.44.203.116.clients.your-server.de",""
"hostname","163.emeraldonion.org",""
"hostname","tor47.quintex.com",""
"hostname","195.ip-51-254-136.eu",""
"hostname","torexit.schokomil.ch",""
"hostname","tor23.quintex.com",""
"hostname","152.ip-51-38-99.eu",""
"hostname","ip134.ip-91-134-147.eu",""
"hostname","ip174.ip-66-70-228.net",""
"hostname","tor3.quintex.com",""
"hostname","204-48-15-51.rev.cloud.scaleway.com",""
"hostname","221-109-15-51.rev.cloud.scaleway.com",""
"hostname","this-is-a-tor-exit-node-hviv128.hviv.nl",""
"hostname","mail.gw90.de",""
"hostname","194-64-15-51.rev.cloud.scaleway.com",""
"hostname","tor-exit-1.yui.cat",""
"hostname","torex3.fissionrelays.net",""
"hostname","186.emeraldonion.org",""
"hostname","dazamong-down.burgerpermit.net",""
"hostname","hiball.koshaq.net",""
"hostname","tor-exit2.nodevar.com",""
"hostname","195.emeraldonion.org",""
"hostname","h2807241.stratoserver.net",""
"hostname","76.ip-158-69-113.net",""
"hostname","52-226-47-212.rev.cloud.scaleway.com",""
"hostname","static.5.186.130.94.clients.your-server.de",""
"hostname","2000me.dd-dns.de",""
"hostname","thisis.feralhosting.com",""
"hostname","vodsl-1817.vo.lu",""
"hostname","170.emeraldonion.org",""
"hostname","tor.ovh.schulte.org",""
"hostname","161-240-144-85.ftth.glasoperator.nl",""
"hostname","static.164.101.243.136.clients.your-server.de",""
"hostname","93-248-47-212.rev.cloud.scaleway.com",""
"hostname","billing.cheshiretechnologies.co.uk",""
"hostname","this-is-a-tor-exit-node-hviv114.hviv.nl",""
"hostname","tor.sebastianhahn.net",""
"hostname","ip41.ip-137-74-140.eu",""
"hostname","torrelay.lordi04.net3.marschi.de",""
"hostname","paris.vsif.node.unmetered.hosting",""
"hostname","tor-exit.critical.cat",""
"hostname","71-54-15-51.rev.cloud.scaleway.com",""
"hostname","95.179.212.251.vultr.com",""
"hostname","209.emeraldonion.org",""
"hostname","tor-exit4-readme.dfri.se",""
"hostname","tor.tuzvo.sk",""
"hostname","ns3291937.ip-5-135-187.eu",""
"hostname","182.emeraldonion.org",""
"hostname","nighthawk.ftzplex.com",""
"hostname","62-210-37-82.rev.poneytelecom.eu",""
"hostname","server-91-233-116-119.creanova.org",""
"hostname","static.104.181.130.94.clients.your-server.de",""
"hostname","static.239.2.69.159.clients.your-server.de",""
"hostname","tor3e3.digitale-gesellschaft.ch",""
"hostname","208.emeraldonion.org",""
"hostname","neurosuse.ftzplex.com",""
"hostname","sub162.xs4all.nl",""
"hostname","manipogo.relay.coldhak.com",""
"hostname","tha.joyrex.net",""
"hostname","tor2e.ins.tor.net.eu.org",""
"hostname","second.darknebu.la",""
"hostname","tor1.spiegl.co",""
"hostname","tor-proxy9.mull-binde.de",""
"hostname","37.ip-145-239-91.eu",""
"hostname","frontend.ms.uni-rostock.de",""
"hostname","this-is-a-tor-exit-node-hviv123.hviv.nl",""
"hostname","tor-exit2-wuppertal.wup-de.hosts.301-moved.de",""
"hostname","frohike.x-file.ma.cx",""
"hostname","tor-cloud-01.bindhammer.koeln",""
"hostname","tor.nordu.net",""
"hostname","tor02.niij.io",""
"hostname","tor1.fissionrelays.net",""
"hostname","tor-exit-2.tuxli.ch",""
"hostname","n12.servbr.net",""
"hostname","vps-107.205.170.217.stwvps.net",""
"hostname","248.ip-158-69-217.net",""
"hostname","tor38.quintex.com",""
"hostname","163-172-61-78.rev.poneytelecom.eu",""
"hostname","210.emeraldonion.org",""
"hostname","190.emeraldonion.org",""
"hostname","156.emeraldonion.org",""
"hostname","static.96.159.47.78.clients.your-server.de",""
"hostname","martyr.tra8n.net",""
"hostname","mitsuha.angristan.xyz",""
"hostname","fr3.tor-exit.anon.af",""
"hostname","darksoul01.trilightzone.co.nz",""
"hostname","tor39.quintex.com",""
"hostname","ip102.ip-167-114-35.net",""
"hostname","161.emeraldonion.org",""
"hostname","vps1.torrentflame.org",""
"hostname","n7.servbr.net",""
"hostname","tor28.quintex.com",""
"hostname","195-154-209-91.rev.poneytelecom.eu",""
"hostname","random.krakow.pw",""
"hostname","195-154-161-5.rev.poneytelecom.eu",""
"hostname","81-7-18-7.que3.de",""
"hostname","241.ip-51-77-136.eu",""
"hostname","ns531056.ip-149-56-25.net",""
"hostname","relay4-eu.tor.eptic.me",""
"hostname","ns508378.ip-192-99-35.net",""
"hostname","150.emeraldonion.org",""
"hostname","103-122-15-51.rev.cloud.scaleway.com",""
"hostname","ns501872.ip-192-99-201.net",""
"hostname","218.ip-51-77-193.eu",""
"hostname","tor12.quintex.com",""
"hostname","ms261.moonshot.dedi.server-hosting.expert",""
"hostname","usenyhoarder001.usermanaged.net",""
"hostname","static.201.61.99.88.clients.your-server.de",""
"hostname","167.emeraldonion.org",""
"hostname","static.84.168.201.195.clients.your-server.de",""
"hostname","daporkchop.guru.ksz.ch",""
"hostname","ns37057.ip-91-121-2.eu",""
"hostname","187.emeraldonion.org",""
"hostname","tor45.quintex.com",""
"hostname","tor35.quintex.com",""
"hostname","static.127.145.216.95.clients.your-server.de",""
"hostname","tor.d-ku.de",""
"hostname","relay3-eu.tor.eptic.me",""
"hostname","tor15.quintex.com",""
"hostname","tor41.quintex.com",""
"hostname","tor40.quintex.com",""
"hostname","163-172-25-118.rev.poneytelecom.eu",""
"hostname","tor-proxy.for-privacy.net",""
"hostname","curie.raven2611.de",""
"hostname","this-is-a-tor-exit-node-hviv127.hviv.nl",""
"hostname","175-58-15-51.rev.cloud.scaleway.com",""
"hostname","2.tor-relay.arcardy.de",""
"hostname","168.emeraldonion.org",""
"hostname","195-154-241-125.rev.poneytelecom.eu",""
"hostname","47.ip-158-69-201.net",""
"hostname","22-219-15-51.rev.cloud.scaleway.com",""
"hostname","tor32.quintex.com",""
"hostname","tor-exit.talyn.se",""
"hostname","tor10.quintex.com",""
"hostname","ip58.ip-54-39-152.net",""
"hostname","this-is-a-tor-exit-node-hviv117.hviv.nl",""
"hostname","tor.node49a.net",""
"hostname","static.186.143.201.138.clients.your-server.de",""
"hostname","prawksi.relay.coldhak.com",""
"hostname","tor3.digineo.de",""
"hostname","81-7-9-33.blue.kundencontroller.de",""
"hostname","server.primopianomolise.it",""
"hostname","tor3.terjan.net",""
"hostname","241.ip-137-74-169.eu",""
"hostname","fry.hufenreuter.info",""
"hostname","mail.hyperebook.com",""
"hostname","static.14.236.76.144.clients.your-server.de",""
"hostname","187-239-47-212.rev.cloud.scaleway.com",""
"hostname","static.104.233.4.46.clients.your-server.de",""
"hostname","ip-51-254-45-43.ddhosts.net",""
"hostname","lannister.b4ne.de",""
"hostname","mail.ecki-netz.de",""
"hostname","195-154-240-145.rev.poneytelecom.eu",""
"hostname","v22018076565969641.powersrv.de",""
"hostname","tor-exit.greektor.net",""
"hostname","169.emeraldonion.org",""
"hostname","218-173-158-51.rev.cloud.scaleway.com",""
"hostname","darksoul03.trilightzone.co.nz",""
"hostname","this-is-a-tor-exit-node-hviv115.hviv.nl",""
"hostname","vmd27699.contaboserver.net",""
"hostname","tor46.quintex.com",""
"hostname","157-240-15-51.rev.cloud.scaleway.com",""
"hostname","165.emeraldonion.org",""
"hostname","ns335828.ip-37-187-162.eu",""
"hostname","akka.0x90.dk",""
"hostname","this-is-a-tor-exit-node-hviv119.hviv.nl",""
"hostname","quebec.servbr.net",""
"hostname","vps1696488.vs.server-hosting.expert",""
"hostname","static.175.93.69.159.clients.your-server.de",""
"hostname","fetch-vied.burgerpermit.net",""
"hostname","malta1420.startdedicated.de",""
"hostname","134.ip-51-254-114.eu",""
"hostname","184.emeraldonion.org",""
"hostname","tor34.quintex.com",""
"hostname","v4941.1blu.de",""
"hostname","195-154-118-198.rev.poneytelecom.eu",""
"hostname","neo.0x3d.lu",""
"hostname","tor2.fissionrelays.net",""
"hostname","station54.ueno.red",""
"hostname","180.emeraldonion.org",""
