"Indicator type","Indicator","Description"
"URL","https://www.xn--d1acpjx3f.xn--p1ai",""
"URL","https://news.xn--d1acpjx3f.xn--p1ai",""
"URL","https://maps.xn--d1acpjx3f.xn--p1ai",""
"URL","https://m.xn--d1acpjx3f.xn--p1ai",""
"URL","http://xn--90ahkin7a2a.xn--d1acpjx3f.xn--p1ai",""
"URL","http://www.xn--d1acpjx3f.xn--p1ai",""
"URL","http://news.xn--d1acpjx3f.xn--p1ai",""
"URL","http://maps.xn--d1acpjx3f.xn--p1ai",""
"URL","http://m.xn--d1acpjx3f.xn--p1ai",""
"hostname","staging.historia.jula.no",""
"hostname","signicat.jula.no",""
"hostname","historia.jula.no",""
"hostname","beta.jula.no",""
"hostname","qa-se-w9z-ecrp-10154-reduceduplicatestit.az.ssdgws.co.uk",""
"hostname","qa-no-jky-testfbmvp-12367-updateintegrat.az.ssdgws.co.uk",""
"hostname","qa-ie-jky-testfbmvp-12367-updateintegrat.az.ssdgws.co.uk",""
"hostname","qa-ca-mh2-apd-666-fixdualschema.az.ssdgws.co.uk",""
"hostname","yp.line.pm",""
"hostname","xfinityupdatepayment-connectedwebservicess.line.pm",""
"hostname","wx.line.pm",""
"hostname","nja.xtr.line.pm",""
"hostname","www.preview-adfox.ru",""
"hostname","guard.oauth-test.yandex.co.il",""
"hostname","api.passport-test.yandex.co.il",""
"domain","paymentsense.cloud",""
"URL","https://yandex.co.il/maps/org/medcourt_/10462501230/",""
"URL","https://www.yandex.co.il",""
"URL","https://uniproxy.messenger.alpha.yandex.co.il",""
"URL","https://sso.passport.yandex.co.il",""
"URL","https://social.yandex.co.il",""
"URL","https://pda-passport-test.yandex.co.il",""
"URL","https://passport-test.yandex.co.il",""
"URL","https://mail360.yandex.co.il",""
"URL","https://m.yandex.co.il",""
"URL","https://disk.yandex.co.il/d/jwLWPrSga3ZRqw",""
"URL","https://disk.yandex.co.il/d/LoMGxp0R-DQPrQ",""
"URL","https://api.passport-rc.yandex.co.il",""
"URL","http://www.yandex.co.il",""
"URL","http://uniproxy.messenger.alpha.yandex.co.il",""
"URL","http://sso.passport.yandex.co.il",""
"URL","http://social.yandex.co.il",""
"URL","http://pda-passport-test.yandex.co.il",""
"URL","http://passport-test.yandex.co.il",""
"URL","http://m.yandex.co.il",""
"URL","http://api.passport-rc.yandex.co.il",""
"hostname","zen.yandex.co.il",""
"hostname","sso.passport.yandex.co.il",""
"hostname","social.yandex.co.il",""
"hostname","pda-passport-test.yandex.co.il",""
"hostname","passport-test.yandex.co.il",""
"hostname","crowdtest.mail.yandex.co.il",""
"hostname","api.passport-rc.yandex.co.il",""
"URL","https://st2wfby.dns0.org",""
"URL","https://qikqd6fqohxjf7gqrqpszqdq74.1.0.npvoavij3sjo3ybdtyogrwwmzu.aci75ot.dns0.org/",""
"URL","https://gg3mhyhu6cf2eyionsryb3yiimjj2fa7.ri2wbka.1.0.3lz6ptnftqnrw7bhndcebflm4m.ivwssta.dns0.org/",""
"URL","https://dh6dbvvpaxugpugxquephdckai.1.0.375ulyaygql2ws7cbvhblanuny.ivwssta.dns0.org/",""
"URL","https://7s74gwj6kxsk7mjfd2m65fvc7j6vu6sg.nv6p4mi.1.0.df2ohco46bfucjlf7abonshorm.xfacahr.dns0.org/",""
"URL","https://2io2uhsppx2hddh6pvxrj4t3wamm6opi.sj6jp7cik74aarm66rea.1.0.xuxga3wnhgaullfmyx6d3nqvh4.ivwssta.dns0.org/",""
"URL","https://2io2uhsppx2hcfuvnvcfklikl234ec7g.h3rqrbfwi25kemt5akua.1.0.3lz6ptnftqnrw7bhndcebflm4m.ivwssta.dns0.org/",""
"URL","http://oyzx3uvrvufyv6tf4zgunudabbfzvm7m.s4a7rua.1.0.dyc2mgfhicfbem26nvzd4xjqty.4ebkqqy.dns0.org/",""
"URL","http://gg3mhyhu6cf2eyionsryb3yiimjj2fa7.ri2wbka.1.0.3lz6ptnftqnrw7bhndcebflm4m.ivwssta.dns0.org/",""
"URL","http://fu42jekuivjyc6immo3uiwykd3ix5hf6.i7n2xjq.1.0.qf4bm2wx2fick7ueph64qbjola.xfacahr.dns0.org/",""
"URL","http://domai.dns0.org:8080/0?f",""
"URL","http://domai.dns0.org:8080/0?e",""
"URL","http://domai.dns0.org:8080/0?b",""
"URL","http://domai.dns0.org:8080/0?a",""
"URL","http://domai.dns0.org:8080/0/?e",""
"URL","http://domai.dns0.org:8080/0/?b",""
"URL","http://domai.dns0.org:8080/0/?a",""
"URL","http://87565.dns0.org:8080/0/?b",""
"URL","http://75cdpfrjrcmsh3stbgmfspbslq.1.0.ukhwibi7qimje53kbrnuugefiq.ivwssta.dns0.org/",""
"URL","http://30562.dns0.org/",""
"hostname","qikqd6fqohxjf7gqrqpszqdq74.1.0.npvoavij3sjo3ybdtyogrwwmzu.aci75ot.dns0.org",""
"hostname","gg3mhyhu6cf2eyionsryb3yiimjj2fa7.ri2wbka.1.0.3lz6ptnftqnrw7bhndcebflm4m.ivwssta.dns0.org",""
"hostname","dh6dbvvpaxugpugxquephdckai.1.0.375ulyaygql2ws7cbvhblanuny.ivwssta.dns0.org",""
"hostname","75cdpfrjrcmsh3stbgmfspbslq.1.0.ukhwibi7qimje53kbrnuugefiq.ivwssta.dns0.org",""
"hostname","2io2uhsppx2hddh6pvxrj4t3wamm6opi.sj6jp7cik74aarm66rea.1.0.xuxga3wnhgaullfmyx6d3nqvh4.ivwssta.dns0.org",""
"hostname","2io2uhsppx2hcfuvnvcfklikl234ec7g.h3rqrbfwi25kemt5akua.1.0.3lz6ptnftqnrw7bhndcebflm4m.ivwssta.dns0.org",""
"URL","https://tukang.nyimak.xyz",""
"URL","https://sg2.nyimak.xyz",""
"URL","https://ocs.nyimak.xyz",""
"URL","https://malay.nyimak.xyz",""
"URL","https://bagus.nyimak.xyz",""
"URL","https://azuresg.nyimak.xyz",""
"URL","https://az1.nyimak.xyz",""
"URL","http://tukang.nyimak.xyz",""
"URL","http://sg2.nyimak.xyz",""
"URL","http://ocs.nyimak.xyz",""
"URL","http://malay.nyimak.xyz",""
"URL","http://bagus.nyimak.xyz",""
"URL","http://azuresg.nyimak.xyz",""
"URL","http://az1.nyimak.xyz",""
"URL","https://www.preview-adfox.ru/1435/banner/window/2524385",""
"URL","https://www.preview-adfox.ru/1435/banner/window/2046151",""
"URL","https://www.preview-adfox.ru/1435/banner/window/2046150",""
